Model,Accuracy,Precision,Recall,F1-score
Random Forest,0.9215686274509803,1.0,0.8857142857142857,0.9393939393939394
Naive Bayes,0.8627450980392157,0.9666666666666667,0.8285714285714286,0.8923076923076924
Decision Tree,0.8431372549019608,0.9354838709677419,0.8285714285714286,0.8787878787878788
Logistic Regression,0.8235294117647058,0.9642857142857143,0.7714285714285715,0.8571428571428571
KNN,0.8235294117647058,1.0,0.7428571428571429,0.8524590163934426
